"Data Source","World Development Indicators",

"Last Updated Date","2018-11-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Costa Rica","CRI","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.06105138991917","1.4282354596512","1.67378843625568","1.83629084239411","1.8574106391081","2.89013357900938","2.09421647217601","1.6976947141128","2.71519381732267","2.63448134206731","2.68906673955066","2.78684348607993","2.15160927464088","1.53157208216374","2.14587579502594","","","",
"Caribbean small states","CSS","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.78956795171564","2.85171460685886","3.30863422977052","2.73003975151999","2.60026237715987","2.9874526986656","2.36223171574928","2.46660456974875","2.12766674213973","2.70979863185278","2.2280895246371","2.32910172016513","2.42843763824937","2.57936051862342","2.73003760626803","2.42741547486097","2.11181894605467","",
"Curacao","CUW","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.89343479644686","8.78001668203169","2.94598535845277","10.294571819345","8.72384663477616","4.26609027047012","4.13627652387321","","","","","","","","","","",
"Cayman Islands","CYM","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.802561777192799","0.394333428630579","0.77356571247336","0.568365891226136","0.371266911207806","1.27580776857576","0.179522577656979","1.06480774896093","0.879795324415728","0.524404014837138","0.868601447437452","0.345072706819327","0.855847138555782","",
"Czech Republic","CZE","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.02194803734879","1.00486925513403","1.23462183533184","1.10314710751975","0.949068328688159","0.855245840416828","1.02355212391804","1.03830319359408","0.826730450173519","0.710815544862562","0.987906717001446","0.818208409955142","0.891349674248834","0.94641596911789","0.834733986045845","0.90852421921614","0.667113805769154","",
"Germany","DEU","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.13136517004688","0.940549862469574","1.05329605768612","0.912015225350338","0.951886695635114","0.936235042597617","0.928715739478389","0.871345017556519","0.813802181593558","0.934612952442559","0.952996398910325","0.819754412734366","0.717184565994306","0.793283654266958","0.818144465246659","0.787555922792641","1.12725507466424","",
"Djibouti","DJI","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.32879728220605","","",
"Dominica","DMA","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.02662874165866","0.705848822460537","0.454071346697479","1.05775461333346","0.585583990657475","0.598668828961911","0.351896735538925","0.583844488789311","0.619810115104314","0.549366765468079","0.786116889864309","0.533548839637984","0.566579260012075","0.458347171892177","1.08838378518815","0.804227579621153","0.801182612619428","",
"Dominican Republic","DOM","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.64417966735901","3.84316854536943","3.67147199209071","3.88435883594016","3.6817716876217","4.23964276424394","4.63798072272081","3.94921893880361","","3.58305227769077","","3.1832256339772","",
"Algeria","DZA","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.441421662343489","0.369843863573414","","",
"East Asia & Pacific (excluding high income)","EAP","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
